x,v
0,1
0.1,0.995
0.199,0.98005
0.29601,0.955299
0.39006,0.920996
0.480209,0.877483
0.565556,0.825194
0.645248,0.764654
0.718487,0.696467
0.784542,0.621316
0.84275,0.539951
0.892532,0.453187
0.933388,0.361891
0.96491,0.266976
0.986783,0.169392
0.998788,0.0701131
1.00081,-0.0298666
0.992815,-0.129548
0.974896,-0.227933
0.947228,-0.324039
0.910088,-0.416905
0.863847,-0.505602
0.808968,-0.589243
0.745999,-0.666991
0.67557,-0.73807
0.598385,-0.801767
0.515216,-0.857447
0.426895,-0.904553
0.334306,-0.942613
0.238373,-0.971247
0.140056,-0.990168
0.0403391,-0.999188
-0.0597814,-0.998216
-0.159304,-0.987262
-0.257234,-0.966435
-0.352591,-0.935944
-0.444422,-0.896093
-0.53181,-0.847281
-0.613879,-0.789997
-0.689809,-0.724812
-0.758841,-0.65238
-0.820285,-0.573424
-0.873526,-0.488733
-0.918032,-0.399155
-0.953357,-0.305586
-0.979149,-0.20896
-0.995149,-0.110246
-1.0012,-0.0104283
-0.997235,0.0894934
-0.983299,0.18852
-0.959531,0.285662
-0.926167,0.379946
-0.883541,0.470432
-0.832081,0.556213
-0.772299,0.636432
-0.704794,0.710287
-0.630242,0.777038
-0.549386,0.83602
-0.463038,0.886641
-0.372058,0.928396
-0.277358,0.960867
-0.179885,0.983729
-0.0806127,0.996754
0.0194658,0.999811
0.11935,0.99287
0.21804,0.976001
0.31455,0.949371
0.407914,0.913248
0.497199,0.867992
0.581513,0.814057
0.660011,0.751981
0.731909,0.682385
0.796488,0.605965
0.853102,0.523485
0.901185,0.435771
0.940256,0.343699
0.969925,0.24819
0.989894,0.150199
0.999964,0.0507062
1.00004,-0.0492938
0.990106,-0.148801
0.970275,-0.24682
0.940742,-0.342371
0.901801,-0.434498
0.853842,-0.52228
0.797345,-0.604839
0.732874,-0.68135
0.661075,-0.751048
0.582665,-0.813235
0.498428,-0.867289
0.409207,-0.912671
0.315894,-0.948926
0.219422,-0.975692
0.120755,-0.992701
0.0208815,-0.999783
-0.0792012,-0.996867
-0.178492,-0.983982
-0.275998,-0.961257
-0.370743,-0.92892
-0.461782,-0.887294
-0.548202,-0.836795
-0.629141,-0.777928
-0.703788,-0.711281
-0.771397,-0.637522
-0.831292,-0.557388
-0.882874,-0.471679
-0.925628,-0.381254
-0.959125,-0.287017
-0.983031,-0.189909
-0.997107,-0.0909018
-1.00121,0.00901409
-0.995304,0.10884
-0.979444,0.207577
-0.953789,0.304239
-0.918596,0.397858
-0.874217,0.487499
-0.821096,0.572264
-0.759764,0.651307
-0.690835,0.723837
-0.614997,0.789129
-0.533009,0.846529
-0.445691,0.895464
-0.353916,0.935445
-0.258602,0.96607
-0.160702,0.987036
-0.0611948,0.998131
0.0389242,0.999244
0.138654,0.990365
0.236997,0.971583
0.33297,0.943084
0.425614,0.905155
0.514001,0.858174
0.597249,0.802612
0.674524,0.739023
0.745054,0.668044
0.808133,0.590385
0.86313,0.506822
0.909497,0.41819
0.946769,0.325377
0.974572,0.22931
0.992631,0.13095
1.00076,0.0312802
0.998887,-0.0687022
0.987022,-0.167998
0.965287,-0.265613
0.933899,-0.360572
0.893173,-0.451926
0.843514,-0.53876
0.785421,-0.620207
0.719473,-0.695452
0.64633,-0.763742
0.566724,-0.824395
0.481451,-0.876803
0.391364,-0.920444
0.297362,-0.95488
0.200388,-0.979768
0.101409,-0.994858
0.001416,-0.999999
-0.098591,-0.99514
-0.197612,-0.98033
-0.294657,-0.955717
-0.388755,-0.921546
-0.478966,-0.87816
-0.564387,-0.825992
-0.644165,-0.765565
-0.7175,-0.697481
-0.783661,-0.622423
-0.841985,-0.541141
-0.891889,-0.454447
-0.932874,-0.363209
-0.964531,-0.268339
-0.986542,-0.170785
-0.998688,-0.0715237
-1.00085,0.028453
-0.992997,0.128145
-0.975218,0.226556
-0.947686,0.322701
-0.910678,0.415619
-0.864562,0.504381
-0.809801,0.5881
-0.746942,0.665937
-0.676614,0.737115
-0.59952,0.800921
-0.51643,0.856719
-0.428176,0.903949
-0.33564,0.94214
-0.239748,0.970909
-0.141458,0.98997
-0.0417539,0.99913
0.0583679,0.998299
0.157906,0.987486
0.255865,0.966797
0.351265,0.936441
0.443153,0.89672
0.530609,0.848032
0.612759,0.790863
0.688782,0.725786
0.757917,0.653451
0.819472,0.574582
0.872833,0.489966
0.917466,0.400452
0.952923,0.306932
0.978852,0.210343
0.994992,0.111651
1.00118,0.0118424
0.99736,-0.0880847
0.983565,-0.187131
0.959934,-0.284306
0.926704,-0.378638
0.884207,-0.469183
0.832867,-0.555037
0.773199,-0.63534
0.705799,-0.70929
0.631341,-0.776147
0.55057,-0.835243
0.464293,-0.885986
0.373373,-0.927869
0.278719,-0.960474
0.181278,-0.983474
0.082024,-0.996639
-0.01805,-0.999837
-0.117944,-0.993038
-0.216658,-0.976308
-0.313205,-0.949815
-0.406621,-0.913823
-0.49597,-0.868694
-0.580359,-0.814877
-0.658945,-0.752912
-0.730942,-0.683418
-0.795629,-0.607089
-0.85236,-0.52469
-0.900567,-0.437044
-0.939768,-0.345027
-0.969572,-0.24956
-0.98968,-0.151597
-0.999892,-0.0521186
-1.0001,0.0478812
-0.990315,0.147402
-0.970624,0.245449
-0.941225,0.341042
-0.902415,0.433224
-0.854581,0.521073
-0.798201,0.603712
-0.733838,0.680314
-0.662138,0.750113
-0.583816,0.812411
-0.499655,0.866584
-0.410499,0.912092
-0.317237,0.948479
-0.220803,0.975381
-0.122161,0.992529
-0.0222972,0.999752
0.0777895,0.996977
0.177098,0.984233
0.274636,0.961646
0.369428,0.929443
0.460525,0.887945
0.547017,0.837568
0.628038,0.778816
0.70278,0.712275
0.770493,0.638611
0.830502,0.558561
0.882206,0.472926
0.925087,0.382561
0.958718,0.288371
0.982761,0.191297
0.996977,0.0923101
1.00122,-0.00759991
0.995457,-0.107434
0.979737,-0.206194
0.954219,-0.302891
0.919158,-0.39656
0.874907,-0.486263
0.821906,-0.571104
0.760686,-0.650234
0.691859,-0.722861
0.616114,-0.78826
0.534207,-0.845776
0.446958,-0.894834
0.35524,-0.934944
0.25997,-0.965704
0.162099,-0.986808
0.0626081,-0.998043
-0.0375092,-0.999298
-0.137251,-0.99056
-0.235621,-0.971916
-0.331635,-0.943554
-0.424332,-0.905755
-0.512786,-0.858899
-0.596112,-0.803454
-0.673477,-0.739975
-0.744107,-0.669096
-0.807296,-0.591526
-0.862412,-0.50804
-0.908904,-0.419475
-0.946307,-0.326714
-0.974247,-0.230686
-0.992444,-0.132352
-1.00072,-0.0326937
-0.998983,0.0672913
-0.987259,0.166603
-0.965662,0.264249
-0.934409,0.359253
-0.893812,0.450664
-0.844276,0.537568
-0.786298,0.619097
-0.720457,0.694435
-0.647411,0.762828
-0.567891,0.823593
-0.482692,0.876122
-0.392667,0.91989
-0.298714,0.954459
-0.201775,0.979484
-0.102817,0.994714
-0.002832,0.999996
0.0971818,0.995279
0.196224,0.980608
0.293303,0.956132
0.38745,0.922094
0.477722,0.878836
0.563217,0.826789
0.64308,0.766474
0.716512,0.698494
0.782779,0.62353
0.841218,0.54233
0.891245,0.455707
0.932359,0.364526
0.96415,0.269701
0.986299,0.172179
0.998586,0.0729343
1.00089,-0.0270393
0.993178,-0.126743
0.975538,-0.225178
0.948142,-0.321362
0.911265,-0.414333
0.865276,-0.50316
0.810633,-0.586955
0.747885,-0.664881
0.677657,-0.736158
0.600653,-0.800074
0.517642,-0.855988
0.429455,-0.903343
0.336974,-0.941665
0.241122,-0.97057
0.14286,-0.989769
0.0431686,-0.99907
-0.0569542,-0.998381
-0.156508,-0.987708
-0.254496,-0.967158
-0.349939,-0.936936
-0.441883,-0.897345
-0.529408,-0.84878
-0.611639,-0.791728
-0.687754,-0.726758
-0.756991,-0.654521
-0.818658,-0.575739
-0.872138,-0.491199
-0.916898,-0.401747
-0.952488,-0.308278
-0.978553,-0.211726
-0.994833,-0.113056
-1.00116,-0.0132565
-0.997484,0.0866759
-0.983829,0.185742
-0.960336,0.28295
-0.927239,0.377329
-0.88487,0.467934
-0.833652,0.55386
-0.774098,0.634248
-0.706803,0.708293
-0.63244,0.775255
-0.551752,0.834464
-0.465547,0.885329
